"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"346",15,"Atlanta Falcons",ATL,"DST21","277","317","291.0","18.4","-"
"347",15,"Bub Means",NO,"WR122","200","314","257.0","57.0","-"
"348",15,"Julian Fleming",FA,"WR123","284","298","293.3","6.6","-"
"349",15,"Javon Baker",NE,"WR124","218","368","299.3","61.9","-"
"350",15,"Daniel Carlson",LV,"K21","278","314","302.0","17.0","-"
"351",15,"Jameis Winston",CLE,"QB39","271","357","302.3","38.8","-"
"352",15,"Noah Brown",WAS,"WR125","186","362","274.0","88.0","-"
"353",15,"Quinn Ewers",FA,"QB40","276","287","281.5","5.5","-"
"354",15,"Clyde Edwards-Helaire",FA,"RB106","222","371","296.5","74.5","-"
"355",15,"Darnell Washington",PIT,"TE42","269","322","295.5","26.5","-"
"356",16,"Mason Taylor",FA,"TE43","279","323","301.0","22.0","-"
"357",16,"Kendrick Bourne",NE,"WR126","244","366","305.0","61.0","-"
"358",16,"Arizona Cardinals",ARI,"DST22","318","347","327.7","13.7","-"
"359",16,"Stone Smartt",LAC,"TE44","295","324","309.5","14.5","-"
"360",16,"Graham Gano",NYG,"K22","312","313","312.5","0.5","-"
"361",16,"Samaje Perine",KC,"RB107","262","375","318.5","56.5","-"
"362",16,"Jaxson Dart",FA,"QB41","281","350","315.5","34.5","-"
"363",16,"Tyler Boyd",TEN,"WR127","269","373","321.0","52.0","-"
"364",16,"Jalin Hyatt",NYG,"WR128","298","384","341.0","43.0","-"
"365",16,"Sterling Shepard",TB,"WR129","305","360","332.5","27.5","-"
"366",16,"Colby Parkinson",LAR,"TE45","325","383","354.0","29.0","-"
